cgpa,python,communication,projects,internships,interest,career
6.88,5,1,4,3,Data Science,Data Scientist
9.76,10,1,3,1,Data Science,Data Scientist
9.26,2,6,0,1,Cyber,Cyber Security
6.37,7,6,9,5,Web,Web Developer
9.94,5,6,8,0,Data Science,Data Scientist
6.57,2,4,0,1,Cloud,Cloud Engineer
8.48,2,3,7,2,Data Science,Data Scientist
8.2,8,6,4,5,Web,Web Developer
7.06,8,1,9,5,Data Science,Data Scientist
6.75,6,8,7,4,Web,Web Developer
9.65,4,9,3,2,AI,AI Engineer
8.0,10,3,9,3,Cloud,Cloud Engineer
9.4,6,7,0,4,Cyber,Cyber Security
8.21,7,4,9,1,AI,AI Engineer
6.35,7,10,4,2,Cloud,Cloud Engineer
9.46,9,1,7,4,Cyber,Cyber Security
7.86,1,5,6,3,Data Science,Data Scientist
5.67,8,10,3,2,AI,AI Engineer
7.28,3,8,6,0,Cyber,Cyber Security
8.22,6,7,8,2,AI,AI Engineer
6.17,7,1,9,2,Cloud,Cloud Engineer
7.4,3,4,5,1,Cloud,Cloud Engineer
9.87,6,3,1,1,Cyber,Cyber Security
9.36,8,6,3,3,Web,Web Developer
6.45,4,9,9,4,Cyber,Cyber Security
9.5,8,5,8,2,Cloud,Cloud Engineer
7.57,8,3,2,1,Web,Web Developer
6.53,7,8,3,2,Web,Web Developer
9.93,2,5,5,4,Web,Web Developer
9.18,2,6,0,3,Web,Web Developer
6.43,7,9,4,1,AI,AI Engineer
9.84,2,7,6,5,Web,Web Developer
9.47,2,4,0,3,Data Science,Data Scientist
8.24,6,8,5,3,Cyber,Cyber Security
9.71,10,9,1,4,Cloud,Cloud Engineer
9.08,9,8,8,1,Data Science,Data Scientist
8.44,2,4,9,5,Cyber,Cyber Security
6.19,10,6,3,5,Cloud,Cloud Engineer
9.92,10,6,4,3,Data Science,Data Scientist
5.68,5,7,1,1,Data Science,Data Scientist
6.39,1,6,7,0,Cloud,Cloud Engineer
9.17,1,6,9,2,Data Science,Data Scientist
8.33,10,2,2,5,Cyber,Cyber Security
7.13,6,1,6,0,Web,Web Developer
9.96,8,5,0,4,AI,AI Engineer
5.92,10,2,9,0,Cyber,Cyber Security
9.95,1,7,10,5,Data Science,Data Scientist
6.04,5,9,1,4,Data Science,Data Scientist
7.54,8,5,6,5,Cloud,Cloud Engineer
6.95,9,9,0,4,Data Science,Data Scientist
8.8,1,7,6,2,AI,AI Engineer
7.03,10,6,2,1,Data Science,Data Scientist
6.37,10,1,10,5,Web,Web Developer
6.74,1,4,4,2,Data Science,Data Scientist
7.47,4,6,9,4,Cloud,Cloud Engineer
9.5,10,3,7,5,Web,Web Developer
6.63,8,4,5,2,AI,AI Engineer
8.71,3,2,5,0,Cloud,Cloud Engineer
9.21,2,10,7,1,AI,AI Engineer
9.59,10,4,10,1,Web,Web Developer
8.09,8,6,6,0,Data Science,Data Scientist
8.09,8,6,2,0,Cyber,Cyber Security
6.05,6,6,1,0,AI,AI Engineer
6.75,4,8,4,2,Cyber,Cyber Security
8.31,4,6,2,5,AI,AI Engineer
9.76,8,9,5,1,Data Science,Data Scientist
9.26,4,8,6,4,Cloud,Cloud Engineer
7.13,6,9,7,2,Cloud,Cloud Engineer
5.66,6,10,5,4,Cloud,Cloud Engineer
7.62,8,4,6,1,Web,Web Developer
8.37,6,4,0,5,Cloud,Cloud Engineer
5.66,2,5,5,1,Cloud,Cloud Engineer
7.53,3,5,6,5,Data Science,Data Scientist
7.19,6,8,9,5,Web,Web Developer
5.85,9,10,2,4,AI,AI Engineer
6.48,1,5,3,4,Web,Web Developer
6.69,1,10,7,2,Data Science,Data Scientist
9.74,8,2,3,4,Web,Web Developer
9.03,3,6,8,1,Web,Web Developer
6.16,9,7,3,5,Cloud,Cloud Engineer
7.63,3,3,3,4,Cyber,Cyber Security
9.17,4,10,0,5,Cyber,Cyber Security
6.59,7,4,0,0,Web,Web Developer
8.24,3,4,2,1,Cyber,Cyber Security
6.51,6,3,1,0,Cloud,Cloud Engineer
7.28,8,1,5,5,Web,Web Developer
9.16,8,9,10,2,Web,Web Developer
9.99,5,1,4,4,Cyber,Cyber Security
8.26,10,5,5,0,AI,AI Engineer
8.12,4,1,2,5,AI,AI Engineer
7.55,10,1,8,2,Cloud,Cloud Engineer
9.2,9,3,9,3,Web,Web Developer
8.99,8,6,3,0,AI,AI Engineer
7.34,5,8,1,4,AI,AI Engineer
8.12,6,4,6,2,Data Science,Data Scientist
9.68,8,1,9,3,Cyber,Cyber Security
6.53,5,6,8,2,Data Science,Data Scientist
8.77,5,2,3,1,Cloud,Cloud Engineer
6.05,2,10,5,2,AI,AI Engineer
6.5,10,7,10,0,Cyber,Cyber Security
8.13,6,6,4,4,AI,AI Engineer
9.65,3,10,9,4,Cyber,Cyber Security
5.82,9,9,7,5,Data Science,Data Scientist
8.45,10,10,0,1,Cyber,Cyber Security
5.54,5,6,1,5,AI,AI Engineer
6.85,8,2,5,5,Web,Web Developer
5.89,5,8,7,3,Web,Web Developer
7.18,8,10,1,3,Web,Web Developer
7.89,8,6,10,5,Web,Web Developer
8.96,10,9,1,2,Web,Web Developer
6.36,7,6,10,3,Data Science,Data Scientist
8.01,1,9,10,0,Web,Web Developer
8.54,5,3,7,2,AI,AI Engineer
9.56,10,7,4,1,Cyber,Cyber Security
